1	Angelica	Angelica keiskei
2	Savoy cabbage	Brassica oleracea var. sabauda
3	Silver linden	Tilia argentea
4	Kiwi	Actinidia chinensis
5	Allium (Onion)	Allium
6	Garden onion	Allium cepa
7	Leek	Allium porrum
8	Garlic	Allium sativum
9	Chives	Allium schoenoprasum
10	Lemon verbena	Aloysia triphylla
11	Cashew nut	Anacardium occidentale
12	Pineapple	Ananas comosus
13	Dill	Anethum graveolens
14	Custard apple	Annona reticulata
15	Wild celery	Apium graveolens
16	Peanut	Arachis hypogaea
17	Burdock	Arctium lappa
18	Horseradish	Armoracia rusticana
19	Tarragon	Artemisia dracunculus
20	Mugwort	Artemisia vulgaris
21	Asparagus	Asparagus officinalis
22	Oat	Avena sativa
23	Star fruit	Averrhoa carambola
24	Brazil nut	Bertholletia excelsa
25	Common beet	Beta vulgaris
26	Borage	Borago officinalis
27	Chinese mustard	Brassica juncea
28	Swede	Brassica napus
29	Rape	Brassica napus var. napus
30	Common cabbage	Brassica oleracea
31	Cauliflower	Brassica oleracea var. botrytis
32	Brussel sprouts	Brassica oleracea var. gemmifera
33	Kohlrabi	Brassica oleracea var. gongylodes
34	Broccoli	Brassica oleracea var. italica
35	Chinese cabbage	Brassica rapa
36	Turnip	Brassica rapa var. rapa
37	Pigeon pea	Cajanus cajan
38	Tea	Camellia sinensis
39	Capers	Capparis spinosa
40	Pepper (C. annuum)	Capsicum annuum
41	Papaya	Carica papaya
42	Safflower	Carthamus tinctorius
43	Caraway	Carum carvi
44	Pecan nut	Carya illinoinensis
45	Chestnut	Castanea
46	Roman camomile	Chamaemelum nobile
47	Chickpea	Cicer arietinum
48	Endive	Cichorium endivia
49	Chicory	Cichorium intybus
50	Chinese cinnamon	Cinnamomum aromaticum
51	Ceylon cinnamon	Cinnamomum verum
52	Watermelon	Citrullus lanatus
53	Lime	Citrus aurantiifolia
54	Lemon	Citrus limon
55	Pummelo	Citrus maxima
56	Mandarin orange (Clementine, Tangerine)	Citrus reticulata
57	Sweet orange	Citrus sinensis
58	Coffee	Coffea
59	Arabica coffee	Coffea arabica
60	Robusta coffee	Coffea canephora
61	Coriander	Coriandrum sativum
62	Common hazelnut	Corylus avellana
63	Saffron	Crocus sativus
64	Muskmelon	Cucumis melo
65	Cucumber	Cucumis sativus
66	Cucurbita (Gourd)	Cucurbita
67	Cumin	Cuminum cyminum
68	Turmeric	Curcuma longa
69	Quince	Cydonia oblonga
70	Lemon grass	Cymbopogon citratus
71	Globe artichoke	Cynara scolymus
72	Carrot	Daucus carota
73	Japanese persimmon	Diospyros kaki
74	Cardamom	Elettaria cardamomum
75	Black crowberry	Empetrum nigrum
76	Loquat	Eriobotrya japonica
77	Rocket salad (ssp.)	Eruca vesicaria ssp. sativa
78	Wax apple	Eugenia
79	Common buckwheat	Fagopyrum esculentum
80	Tartary buckwheat	Fagopyrum tataricum
81	Fig	Ficus carica
82	Fennel	Foeniculum vulgare
83	Strawberry	Fragaria X ananassa
84	Black huckleberry	Gaylussacia baccata
85	Soy bean	Glycine max
86	Sunflower	Helianthus annuus
87	Sea-buckthornberry	Hippophae rhamnoides
88	Barley	Hordeum vulgare
89	Hyssop	Hyssopus officinalis
90	Star anise	Illicium verum
91	Swamp cabbage	Ipomoea aquatica
92	Sweet potato	Ipomoea batatas
93	Black walnut	Juglans nigra
94	Common walnut	Juglans regia
95	Lettuce	Lactuca sativa
96	Grass pea	Lathyrus sativus
97	Sweet bay	Laurus nobilis
98	Lentils	Lens culinaris
99	Garden cress	Lepidium sativum
100	Lovage	Levisticum officinale
101	Flaxseed	Linum usitatissimum
102	Mexican oregano	Lippia graveolens
103	Lichee	Litchi chinensis
104	Lupine	Lupinus
105	Apple	Malus pumila
106	Mango	Mangifera indica
107	German camomile	Matricaria recutita
108	Lemon balm	Melissa officinalis
109	Mentha (Mint)	Mentha
110	Orange mint	Mentha aquatica
111	Cornmint	Mentha arvensis
112	Spearmint	Mentha spicata
113	Peppermint	Mentha X piperita
114	Medlar	Mespilus germanica
115	Bitter gourd	Momordica charantia
116	Mulberry	Morus
117	Black mulberry	Morus nigra
118	Nutmeg	Myristica fragrans
119	Sweet basil	Ocimum basilicum
120	Evening primrose	Oenothera biennis
121	Olive	Olea europaea
122	Sweet marjoram	Origanum majorana
123	Pot marjoram	Origanum onites
124	Common oregano	Origanum vulgare
125	Rice	Oryza sativa
126	Millet	Panicum miliaceum
127	Poppy	Papaver
128	Passion fruit	Passiflora edulis
129	Parsnip	Pastinaca sativa
130	Avocado	Persea americana
131	Parsley	Petroselinum crispum
132	Scarlet bean	Phaseolus coccineus
133	Lima bean	Phaseolus lunatus
134	Common bean	Phaseolus vulgaris
135	Date	Phoenix dactylifera
136	Black chokeberry	Photinia melanocarpa
137	Anise	Pimpinella anisum
138	Pine nut	Pinus
139	Pepper (Spice)	Piper nigrum
140	Pistachio	Pistacia vera
141	Common pea	Pisum sativum
142	Purslane	Portulaca oleracea
143	Prunus (Cherry, Plum)	Prunus
144	Apricot	Prunus armeniaca
145	Sweet cherry	Prunus avium
146	Sour cherry	Prunus cerasus
147	European plum	Prunus domestica
