inchikey,kegg_id,kegg_drug_id
InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N,C00001,D00001
InChIKey=ZKHQWZAMYRWXGA-KQYNXXCUSA-N,C00002,D08646
InChIKey=BAWFJGJZGIEFAR-NNYOXOHSSA-O,C00003,D00002
InChIKey=BOPGDPNILDQYTO-NNYOXOHSSA-N,C00004,
InChIKey=ACFIXJIJDZMPPO-NNYOXOHSSA-N,C00005,
InChIKey=XJLXINKUBYWONI-NNYOXOHSSA-O,C00006,
InChIKey=MYMOFIZGZYHOMD-UHFFFAOYSA-N,C00007,D00003
InChIKey=XTWYTFMLZFPYCI-KQYNXXCUSA-N,C00008,
InChIKey=NBIIXXVUZAFLBC-UHFFFAOYSA-N,C00009,D05467
InChIKey=RGJOEKWQDUBAIZ-IBOSZNHHSA-N,C00010,
InChIKey=CURLTUGMZLYLDI-UHFFFAOYSA-N,C00011,D00004
InChIKey=XPPKVPWEQAFLFU-UHFFFAOYSA-N,C00013,
InChIKey=QGZKDVFQNNGYKY-UHFFFAOYSA-N,C00014,D02916
InChIKey=XCCTYIAWTASOJW-XVFCMESISA-N,C00015,
InChIKey=VWWQXMAJTJZDQX-UYBVJOGSSA-N,C00016,D00005
InChIKey=NGVDGCNFYWLIFO-UHFFFAOYSA-N,C00018,
InChIKey=MEFKEPWMEQBLKI-AIRLBKTGSA-N,C00019,
InChIKey=UDMBCSSLTHHNCD-KQYNXXCUSA-N,C00020,D02769
InChIKey=ZJUKTBDSGOFHSH-WFMPWKQPSA-N,C00021,
InChIKey=LCTONWCANYUPML-UHFFFAOYSA-N,C00022,
InChIKey=XEEYBQQBJWHFJM-UHFFFAOYSA-N,C00023,
InChIKey=ZSLZBFCDCINBPY-ZSJPKINUSA-N,C00024,
InChIKey=WHUUTDBJXJRKMK-VKHMYHEASA-N,C00025,D00007
InChIKey=KPGXRSRHYNQIFN-UHFFFAOYSA-N,C00026,
InChIKey=MHAJPDPJQMAIIY-UHFFFAOYSA-N,C00027,D00008
InChIKey=HSCJRCZFDFQWRP-JZMIEXBBSA-N,C00029,
InChIKey=WQZGKKKJIJFFOK-GASJEMHNSA-N,C00031,D00009
InChIKey=KABFMIBPWCXCRK-RGGAHWMASA-L,C00032,
InChIKey=QTBSBXVTEAMEQO-UHFFFAOYSA-N,C00033,D00010
InChIKey=PWHULOQIROXLJO-UHFFFAOYSA-N,C00034,
InChIKey=QGWNDRXFNXRZMB-UUOKFMHZSA-N,C00035,
InChIKey=KHPXUQMNIQBQEV-UHFFFAOYSA-N,C00036,
InChIKey=DHMQDGOQFOQNFH-UHFFFAOYSA-N,C00037,D00011
InChIKey=PTFCDOFLOPIGGS-UHFFFAOYSA-N,C00038,
