het_id,inchikey
000,InChIKey=CXHHBNMLPJOKQD-UHFFFAOYSA-N
001,InChIKey=NBYCDVVSYOMFMS-VMPREFPWSA-N
002,InChIKey=MWZOULASPWUGJJ-NFBUACBFSA-N
003,InChIKey=NNZDBCPMOOEFTE-UHFFFAOYSA-N
004,InChIKey=ZGUNAGUHMKGQNY-ZETCQYMHSA-N
005,InChIKey=LDSJMFGYNFIFRK-IUCAKERBSA-N
006,InChIKey=KKTYZYHUPKXLPL-RIQJEONASA-N
007,InChIKey=SJWOFBVBNFLWLP-UHFFFAOYSA-N
008,InChIKey=OEVYDSSAPNIURZ-AEFFLSMTSA-N
009,InChIKey=DCJGHBWTJFHQCR-UEHMVRIRSA-N
00A,InChIKey=RVDNKWBGRIIRML-XNIJJKJLSA-N
00B,InChIKey=PMQQFSDIECYOQV-SCSAIBSYSA-N
00C,InChIKey=XVOYSCVBGLVSOL-UWTATZPHSA-N
00D,InChIKey=DXSUORGKJZADET-RXMQYKEDSA-N
00E,InChIKey=VIWZVFVJPXTXPA-UHFFFAOYSA-N
00F,InChIKey=SMNGNHRXUGKQDP-MWLCHTKSSA-N
00G,InChIKey=NSZDJRLPCLOQAM-UHFFFAOYSA-N
00H,InChIKey=CZMVVDBXWOZCRC-SNVBAGLBSA-N
00I,InChIKey=XRFHGJLVHMSQFX-IZZNHLLZSA-N
00J,InChIKey=LGXVKMDGSIWEHL-UHFFFAOYSA-N
00K,InChIKey=FYDHYBJQXIEOSE-HXFQDRMMSA-N
00L,InChIKey=BCHJOEWNJFXZEK-DNHJLFCISA-N
00M,InChIKey=LDSJMFGYNFIFRK-DTWKUNHWSA-N
00N,InChIKey=LWWRAASQNZOVDU-GSRZOBFVSA-N
00O,InChIKey=PECGVEGMRUZOML-CQSZACIVSA-N
00P,InChIKey=PTMIAKQUJFKTNB-LNLFQRSKSA-N
00Q,InChIKey=FOIAKHMJUJAMDU-ANZJIFDASA-N
00R,InChIKey=RRUPLXTVXFHADQ-ZWOKBUDYSA-N
00S,InChIKey=CHOGNBXWAZDZBM-UHFFFAOYSA-N
00T,InChIKey=OPYZUJUKJWFWGF-UHFFFAOYSA-N
00U,InChIKey=VSGVOMMUKACZDZ-SWLSCSKDSA-N
00V,InChIKey=ICHJIRHABUATNQ-WDSKDSINSA-N
00W,InChIKey=FSZGZFKATFQIEP-WHFBIAKZSA-N
