Compounds	Object ID	InChI-Key	SMILES	
(+)-5-oxo-1,2-campholide	+-5-oxo-1-2-campholide	InChIKey=UDJVKSCOEHSXBZ-UHFFFAOYSA-N	CC1(C)(C2(CC(=O)OC1(C)CC(=O)2))	
(-)-5-oxo-1,2-campholide	--5-oxo-1-2-campholide	InChIKey=UDJVKSCOEHSXBZ-UHFFFAOYSA-N	CC1(C)(C2(C)(OC(=O)CC1C(=O)C2))	
(6<i>S</i>,9<i>R</i>)-vomifoliol	--6-HYDROXY-3-OXO-ALPHA-IONOL	InChIKey=KPQMCAKZRXOZLB-KOIHBYQTSA-N	CC1(=CC(=O)CC(C)(C)C(O)(C=CC(C)O)1)	
(6<i>R</i>)-dehydrovomifoliol	--6-HYDROXY-3-OXO-ALPHA-IONONE	InChIKey=JJRYPZMXNLLZFH-GFUIURDCSA-N	CC1(=CC(=O)CC(C)(C)C(O)(C=CC(C)=O)1)	
(-)-ephedrine	--EPHEDRINE	InChIKey=KWGRBVOPPLSCSI-WPRPVWTQSA-N	CC(NC)C(O)C1(C=CC=CC=1)	
(+/-)-<i>trans</i>-acenaphthene-1,2-diol	--TRANS-ACENAPHTHENE-12-DIOL	InChIKey=ARGFAPRYULRPAN-RYUDHWBXSA-N	C2(C=C1(C=CC=C3(C1=C(C=2)C(C3O)O)))	
(+)-cis-sabinol	-CIS-SABINOL	InChIKey=MDFQXBNVOAKNAY-BBBLOLIVSA-N	CC(C12(CC(O)C(C1C2)=C))C	
(+)-sabinone	-SABINONE	InChIKey=PBLWMCQDAGOTPV-SCZZXKLOSA-N	CC(C)C12(CC(=O)C(=C)C(C1)2)	
caffeine	1-3-7-TRIMETHYLXANTHINE	InChIKey=RYYVLZVUVIJVGH-UHFFFAOYSA-N	CN1(C2(C(=O)N(C(=O)N(C(N=C1)=2)C)C))	
1-(3,4-dimethylphenyl)ethane-1,2-diol	1-34-DIMETHYLPHENYLETHANE-12-DIOL	InChIKey=KVNYZDJRJUBWOJ-UHFFFAOYSA-N	CC1(=CC=C(C=C(C)1)C(CO)O)	
(<i>R</i>)-synephrine	1-4-HYDROXYPHENYL-2-METHYLAMINOETHAN	InChIKey=YRCWQPVGYLYSOX-VIFPVBQESA-O	C[N+]CC(O)C1(C=CC(O)=CC=1)	
1-(5-phosphoribosyl)imidazole-4-acetate	1-5-PHOSPHORIBOSYLIMIDAZOLE-4-ACETATE	InChIKey=RDQUQBHPMYFYMX-PEBGCTIMSA-K	C1(=C(CC(=O)[O-])N=CN1C2(OC(COP(=O)([O-])[O-])C(O)C(O)2))	
paraxanthine	1-7-DIMETHYLXANTHINE	InChIKey=QUNWUDVFRNGTCO-UHFFFAOYSA-N	CN2(C=NC1(=C(C(N(C(N1)=O)C)=O)2))	
1-alkyl-2-arachidonyl-sn-glycero-3-phosphocholine	1-ALKYL-2-ARACHIDONYL-SN-GLYCERO-3-PCHOL		CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(COP([O-])(=O)OCC[N+](C)(C)C)CO[R]	
1-alkyl-2-arachidonyl-sn-glycero-3-phosphoethanolamine	1-ALKYL-2-ARACHIDONYL-SN-GLYCERO-3-PETH		CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(COP([O-])(=O)OCC[N+])CO[R]	
(<i>R</i>)-1-aminopropan-2-ol	1-AMINO-PROPAN-2-OL	InChIKey=HXKKHQJGJAFBHI-GSVOUGTGSA-O	CC(O)C[N+]	
3-amino-1-hydroxyacetone 1-phosphate	1-AMINO-PROPAN-2-ONE-3-PHOSPHATE	InChIKey=HIQNVODXENYOFK-UHFFFAOYSA-M	C(C(=O)C[N+])OP(=O)([O-])[O-]	
4-carboxycyclohexanoyl-CoA	1-CARBOXYCYCLOHEXANOYL-COA	InChIKey=UJHYDTBZLMASAV-AZKLLKNGSA-I	CC(C)(C(O)C(=O)NCCC(=O)NCCSC(=O)C1(CCC(C([O-])=O)CC1))COP(=O)(OP(=O)(OCC2(OC(C(C2OP([O-])(=O)[O-])O)N4(C3(=C(C(N)=NC=N3)N=C4))))[O-])[O-]	
4-carboxyglutamate	1-CARBOXYGLUTAMIC_ACID	InChIKey=UHBYWPGGCSDKFX-UHFFFAOYSA-L	C(C([N+])C(=O)[O-])C(C(=O)[O-])C(=O)[O-]	
1-deoxy-D-altro-heptulose 7-phosphate	1-DEOXY-D-ALTRO-HEPTULOSE-7-PHOSPHATE	InChIKey=QIIZYFWCULOBMW-UHFFFAOYSA-L	CC(=O)C(O)C(O)C(O)C(O)COP(=O)([O-])[O-]	
1-hydroxy-2-(&beta;-D-glucosyloxy)-9,10- anthraquinone	1-HYDROXY-2-BETA-D-GLUCOSYLOXY-910-AN	InChIKey=QWAIGXQWLALUHA-UJXPUUNTSA-N	C1(C=CC2(C(=O)C3(=C(O)C(=CC=C(C(=O)C(C=1)=2)3)OC4(C(O)OC(CO)C(O)C(O)4))))	
1-(1-hydroxyalkyl)-sn-glycerol	1-HYDROXYALKYL-SN-GLYCEROL		C(O)C(O)C(O)O[R]	
1-indanol	1-INDANOL	InChIKey=YIAPLDFPUUJILH-UHFFFAOYSA-N	C2(C=CC1(=C(CCC1O)C=2))	
(<i>R</i>)-2,3-dihydroxy-3-methylpentanoate	1-KETO-2-METHYLVALERATE	InChIKey=PDGXJDXVGMHUIR-UJURSFKZSA-M	CCC(O)(C)C(C([O-])=O)O	
1-methyladenosine	1-METHYLADENOSINE	InChIKey=GFYLSDSUCHVORB-UHFFFAOYSA-N	CN3(C=NC1(=C(N=CN1C2(OC(CO)C(O)C2O))C3=N))	
1-<i>O</i>-alkyl-2-acetyl-<i>sn</i>-glycerol	1-O-ALKYL-2-ACETYL-SN-GLYCEROL		CC(=O)OC(CO)CO[R]	
1-phosphatidyl-myo-inositol	1-PHOSPHATIDYL-MYO-INOSITOL		C(C(OC([R1])=O)COP(OC1(C(C(C(C(C1O)O)O)O)O))(O)=O)OC([R1])=O	
1-phosphatidyl-myo-inositol 2-mannose	1-PHOSPHATIDYL-MYO-INOSITOL-2-MANNOSE		C(C2(OC(OC1(C(O)C(O)C(O)C(O)C(OP(=O)(O)OCC(COC(=O)[R1])OC(=O)[R1])1))C(C(C2O)O)O))O	
1-organyl-2-acetyl-<i>sn</i>-glycero-3-phospholipid	1-RADYL-2-ACETYL-SN-GLYCERO-3-PHOSPHOLIP		CC(=O)OC(CO[R1])COP(=O)([O-])O[R2]	
1-sinapoyl-D-glucose	1-SINAPOYL-D-GLUCOSE	InChIKey=KKLWTTVTWMTNBP-KYXYLJOWSA-M	COC2(=CC(C=CC(=O)[O-])=CC(OC)=C(OC1(OC(CO)C(O)C(O)C(O)1))2)	
10&beta;-hydroxytaxa-4(20),11-dien-5&alpha;-yl acetate	10-BETA-HYDROXYTAXA-42011-DIEN-5-ALPH	InChIKey=BMPKIAPYMZISRD-PQTWGXLHSA-N	CC1(CCC2(CC3(C(=C)C(CCC(C)(CC(O)C=1C(C)(C)2)3)OC(C)=O)))	
10-deacetyl-2-debenzoylbaccatin III	10-DEACETYL-2-DEBENZOYLBACCATIN-III	InChIKey=LHXBWTCSJBQSGI-QOBCYHTASA-N	CC2(=C3(C(O)C(=O)C4(C)(C(O)CC1(OCC(OC(C)=O)1C(C(O)C(O)(CC(O)2)C(C)(C)3)4))))	
10-deacetylbaccatin III	10-DEACETYLBACCATIN-III	InChIKey=YWLXLRUDGLRYDR-ZHPRIASZSA-N	CC3(=C4(C(O)C(=O)C5(C)(C(O)CC1(OCC(OC(C)=O)1C(C(OC(=O)C2(C=CC=CC=2))C(O)(CC(O)3)C(C)(C)4)5))))	
10-deoxysarpagine	10-DEOXYSARPAGINE	InChIKey=VXTDUGOBAOLMED-VICVVEARSA-N	C[CH]=C5([CH]4([CH](CO)[CH]3(N([CH](C2(NC1(C(=CC=CC=1)C=2C3)))C4)C5)))	
10-desacetyltaxuyunnanin C	10-DESACETYLTAXUYUNNANIN-C	InChIKey=RAKDXBHPGCOTQG-SFPMZPPXSA-N	CC1(CC(OC(C)=O)C2(C(OC(C)=O)C3(C(=C)C(CCC(C)(CC(O)C=1C(C)(C)2)3)OC(C)=O)))	
10-hydroxydihydrosanguinarine	10-HYDROXYDIHYDROSANGUINARINE	InChIKey=UYMYPMGPARAZNU-UHFFFAOYSA-N	C2(C5(=C6(OCOC(=CC(O)=C(C1(C=CC3(C=C4(OCOC(=CC(C=1N(C)2)=3)4))))5)6)))	
10-oxodecanoate	10-OXODECANOATE	InChIKey=FYURGFQVSMALOD-UHFFFAOYSA-M	C(CCCCCCCCC([O-])=O)=O	
1,1-DCE	11-DCE	InChIKey=LGXVIGDEPROXKC-UHFFFAOYSA-N	C=C(Cl)Cl	
11-deoxycorticosterone	11-DEOXYCORTICOSTERONE	InChIKey=ZESRJSPZRDMNHY-YFWFAHHUSA-N	CC34([CH]2(CCC1(C)([CH](CCC(C(=O)CO)1)[CH]2CCC3=CC(=O)CC4)))	
11-O-demethyl-17-O-deacetylvindoline	11-O-DEMETHYL-17-O-DEACETYLVINDOLINE	InChIKey=MNCVVTFLNVITRD-RLFCDOPRSA-O	CCC14(C5([N+](CC=C1)CCC2(C(N(C3(=C2C=CC(O)=C3))C)C(O)(C(OC)=O)C(O)4)5))	
1,1,1-trichloroethane	111-TRICHLOROETHANE	InChIKey=UOCLXMDMGBRAIB-UHFFFAOYSA-N	CC(Cl)(Cl)Cl	
1,1,1,2-tetrachloroethane	1112-TETRACHLOROETHANE	InChIKey=QVLAWKAXOMEXPM-UHFFFAOYSA-N	C(C(Cl)(Cl)Cl)Cl	
1,12-diaminooctane	112-DIAMINOOCTANE	InChIKey=QFTYSVGGYOXFRQ-UHFFFAOYSA-P	C(CCCCCCCCCCC[N+])[N+]	
1,1,2-trichloroethane	112-TRICHLOROETHANE	InChIKey=UBOXGVDOUJQMTN-UHFFFAOYSA-N	C(C(Cl)Cl)Cl	
1,1,2,2-tetrachloroethane	1122-TETRACHLOROETHANE	InChIKey=QPFMBZIOSGYJDE-UHFFFAOYSA-N	C(C(Cl)Cl)(Cl)Cl	
1,2-&beta;-D-glucuronosyl-D-glucuronate	12-BETA-D-GLUCURONOSYL-D-GLUCURONATE	InChIKey=IMNADAQGVSDVMI-CCLDAEICSA-L	C1(O)(C(O)C(OC(C(=O)[O-])C(O)1)OC2(C(O)OC(C(=O)[O-])C(O)C(O)2))	
1,2-di-O-sinapoyl-&beta;-D-glucose	12-BIS-O-SINAPOYL-BETA-D-GLUCOSIDE	InChIKey=KQDOTXAUJBODDM-STUNQXDBSA-N	COC3(=CC(C=CC(OC2(C(OC(C=CC1(=CC(OC)=C(C(OC)=C1)O))=O)OC(CO)C(C2O)O))=O)=CC(OC)=C(O)3)	
1,2-bis(3,4-dimethoxyphenyl)propane-1,3-diol	12-BIS34-DIMETHOXYPHENYLPROPANE-13-	InChIKey=MLKIARXZUAHWAV-UHFFFAOYSA-N	C(C(C1(=CC=C(C(=C1)OC)OC))C(C2(=CC=C(C(=C2)OC)OC))O)O	
4,4'-dihydroxy-3,3'-dimethoxystilbene	12-BIS4-HYDROXY-3-METHOXYPHENYLETHYLE	InChIKey=KQPXJFAYGYIGRU-ONEGZZNKSA-N	COC2(=CC(C=CC1(=CC=C(O)C(=C1)OC))=CC=C(O)2)	
1,2-D-glucosyl-5-D-(galactosyloxy)-L-lysine-[procollagen]	12-D-GLUCOSYL-5-D-GALACTOSYLOXY-L-LYS		C(O)C2(OC(OC1(C(O)C(O)C(CO)OC(OC(C[N+])CCC(N[a procollagen])C([a procollagen])=O)1))C(O)C(O)C(O)2)	
1,2-dehydroreticulinium	12-DEHYDRORETICULINIUM	InChIKey=ZALYXKJOOUDZCC-UHFFFAOYSA-O	C2(CC3(=CC(OC)=C(O)C=C(C(CC1(=CC=C(OC)C(O)=C1))=[N+](C)2)3))	
